hour,lat,lon,elevation,slope,predicted_wind_speed,grid_proximity,road_distance,residential_distance,heritage_distance,geology_distance,water_distance,cost
6,32.52696702995977,35.39219869742124,315.4,16.2,12,0.59,181.8,291.1,1176.7,384.4,909.3,1445.9
7,32.52696702995977,35.39219869742124,315.4,16.2,9.49,0.59,181.8,291.1,1176.7,384.4,909.3,1445.9
8,32.52696702995977,35.39219869742124,315.4,16.2,10.1,0.59,181.8,291.1,1176.7,384.4,909.3,1445.9
9,32.52696702995977,35.39219869742124,315.4,16.2,7.09,0.59,181.8,291.1,1176.7,384.4,909.3,1445.9
10,32.52696702995977,35.39219869742124,315.4,16.2,9.56,0.59,181.8,291.1,1176.7,384.4,909.3,1445.9
11,32.52696702995977,35.39219869742124,315.4,16.2,9.99,0.59,181.8,291.1,1176.7,384.4,909.3,1445.9
12,32.52696702995977,35.39219869742124,315.4,16.2,6.39,0.59,181.8,291.1,1176.7,384.4,909.3,1445.9
13,32.52696702995977,35.39219869742124,315.4,16.2,6.46,0.59,181.8,291.1,1176.7,384.4,909.3,1445.9
14,32.52696702995977,35.39219869742124,315.4,16.2,7.47,0.59,181.8,291.1,1176.7,384.4,909.3,1445.9
15,32.52696702995977,35.39219869742124,315.4,16.2,4.88,0.59,181.8,291.1,1176.7,384.4,909.3,1445.9
16,32.52696702995977,35.39219869742124,315.4,16.2,4,0.59,181.8,291.1,1176.7,384.4,909.3,1445.9
17,32.52696702995977,35.39219869742124,315.4,16.2,5.39,0.59,181.8,291.1,1176.7,384.4,909.3,1445.9
18,32.52696702995977,35.39219869742124,315.4,16.2,4,0.59,181.8,291.1,1176.7,384.4,909.3,1445.9
19,32.52696702995977,35.39219869742124,315.4,16.2,4,0.59,181.8,291.1,1176.7,384.4,909.3,1445.9
20,32.52696702995977,35.39219869742124,315.4,16.2,7.18,0.59,181.8,291.1,1176.7,384.4,909.3,1445.9
21,32.52696702995977,35.39219869742124,315.4,16.2,4.76,0.59,181.8,291.1,1176.7,384.4,909.3,1445.9
22,32.52696702995977,35.39219869742124,315.4,16.2,6.34,0.59,181.8,291.1,1176.7,384.4,909.3,1445.9
23,32.52696702995977,35.39219869742124,315.4,16.2,6.44,0.59,181.8,291.1,1176.7,384.4,909.3,1445.9
0,32.532423244816485,35.38043726126728,412.4,1.2,6.62,0.64,671.4,835,576.9,694.5,946.4,1435.6
1,32.532423244816485,35.38043726126728,412.4,1.2,8.33,0.64,671.4,835,576.9,694.5,946.4,1435.6
2,32.532423244816485,35.38043726126728,412.4,1.2,8.87,0.64,671.4,835,576.9,694.5,946.4,1435.6
3,32.532423244816485,35.38043726126728,412.4,1.2,7.91,0.64,671.4,835,576.9,694.5,946.4,1435.6
4,32.532423244816485,35.38043726126728,412.4,1.2,9.44,0.64,671.4,835,576.9,694.5,946.4,1435.6
5,32.532423244816485,35.38043726126728,412.4,1.2,10.74,0.64,671.4,835,576.9,694.5,946.4,1435.6
6,32.532423244816485,35.38043726126728,412.4,1.2,9.33,0.64,671.4,835,576.9,694.5,946.4,1435.6
7,32.532423244816485,35.38043726126728,412.4,1.2,8.71,0.64,671.4,835,576.9,694.5,946.4,1435.6
8,32.532423244816485,35.38043726126728,412.4,1.2,9.36,0.64,671.4,835,576.9,694.5,946.4,1435.6
9,32.532423244816485,35.38043726126728,412.4,1.2,7.96,0.64,671.4,835,576.9,694.5,946.4,1435.6
10,32.532423244816485,35.38043726126728,412.4,1.2,6.7,0.64,671.4,835,576.9,694.5,946.4,1435.6
11,32.532423244816485,35.38043726126728,412.4,1.2,8.89,0.64,671.4,835,576.9,694.5,946.4,1435.6
12,32.532423244816485,35.38043726126728,412.4,1.2,8.39,0.64,671.4,835,576.9,694.5,946.4,1435.6
13,32.532423244816485,35.38043726126728,412.4,1.2,4.98,0.64,671.4,835,576.9,694.5,946.4,1435.6
14,32.532423244816485,35.38043726126728,412.4,1.2,8.42,0.64,671.4,835,576.9,694.5,946.4,1435.6
15,32.532423244816485,35.38043726126728,412.4,1.2,4.57,0.64,671.4,835,576.9,694.5,946.4,1435.6
16,32.532423244816485,35.38043726126728,412.4,1.2,8.25,0.64,671.4,835,576.9,694.5,946.4,1435.6
17,32.532423244816485,35.38043726126728,412.4,1.2,4.41,0.64,671.4,835,576.9,694.5,946.4,1435.6
18,32.532423244816485,35.38043726126728,412.4,1.2,8.13,0.64,671.4,835,576.9,694.5,946.4,1435.6
19,32.532423244816485,35.38043726126728,412.4,1.2,5.34,0.64,671.4,835,576.9,694.5,946.4,1435.6
20,32.532423244816485,35.38043726126728,412.4,1.2,4.25,0.64,671.4,835,576.9,694.5,946.4,1435.6
21,32.532423244816485,35.38043726126728,412.4,1.2,4,0.64,671.4,835,576.9,694.5,946.4,1435.6
22,32.532423244816485,35.38043726126728,412.4,1.2,6.33,0.64,671.4,835,576.9,694.5,946.4,1435.6
23,32.532423244816485,35.38043726126728,412.4,1.2,6.93,0.64,671.4,835,576.9,694.5,946.4,1435.6
0,32.52332925050157,35.38388901500577,264.3,10.1,7.54,0.4,762.6,853.5,508.5,1472.8,492.6,1103.9
1,32.52332925050157,35.38388901500577,264.3,10.1,9.25,0.4,762.6,853.5,508.5,1472.8,492.6,1103.9
2,32.52332925050157,35.38388901500577,264.3,10.1,8.5,0.4,762.6,853.5,508.5,1472.8,492.6,1103.9
3,32.52332925050157,35.38388901500577,264.3,10.1,9.15,0.4,762.6,853.5,508.5,1472.8,492.6,1103.9
4,32.52332925050157,35.38388901500577,264.3,10.1,8.76,0.4,762.6,853.5,508.5,1472.8,492.6,1103.9
5,32.52332925050157,35.38388901500577,264.3,10.1,10.77,0.4,762.6,853.5,508.5,1472.8,492.6,1103.9
6,32.52332925050157,35.38388901500577,264.3,10.1,12,0.4,762.6,853.5,508.5,1472.8,492.6,1103.9
7,32.52332925050157,35.38388901500577,264.3,10.1,9,0.4,762.6,853.5,508.5,1472.8,492.6,1103.9
8,32.52332925050157,35.38388901500577,264.3,10.1,8.11,0.4,762.6,853.5,508.5,1472.8,492.6,1103.9
9,32.52332925050157,35.38388901500577,264.3,10.1,8.97,0.4,762.6,853.5,508.5,1472.8,492.6,1103.9
10,32.52332925050157,35.38388901500577,264.3,10.1,7.86,0.4,762.6,853.5,508.5,1472.8,492.6,1103.9
11,32.52332925050157,35.38388901500577,264.3,10.1,10.64,0.4,762.6,853.5,508.5,1472.8,492.6,1103.9
12,32.52332925050157,35.38388901500577,264.3,10.1,8.49,0.4,762.6,853.5,508.5,1472.8,492.6,1103.9
13,32.52332925050157,35.38388901500577,264.3,10.1,8.32,0.4,762.6,853.5,508.5,1472.8,492.6,1103.9
14,32.52332925050157,35.38388901500577,264.3,10.1,7.99,0.4,762.6,853.5,508.5,1472.8,492.6,1103.9
15,32.52332925050157,35.38388901500577,264.3,10.1,8.32,0.4,762.6,853.5,508.5,1472.8,492.6,1103.9
16,32.52332925050157,35.38388901500577,264.3,10.1,5.01,0.4,762.6,853.5,508.5,1472.8,492.6,1103.9
17,32.52332925050157,35.38388901500577,264.3,10.1,7.72,0.4,762.6,853.5,508.5,1472.8,492.6,1103.9
18,32.52332925050157,35.38388901500577,264.3,10.1,7.51,0.4,762.6,853.5,508.5,1472.8,492.6,1103.9
19,32.52332925050157,35.38388901500577,264.3,10.1,4.11,0.4,762.6,853.5,508.5,1472.8,492.6,1103.9
20,32.52332925050157,35.38388901500577,264.3,10.1,5.11,0.4,762.6,853.5,508.5,1472.8,492.6,1103.9
21,32.52332925050157,35.38388901500577,264.3,10.1,4,0.4,762.6,853.5,508.5,1472.8,492.6,1103.9
22,32.52332925050157,35.38388901500577,264.3,10.1,6.4,0.4,762.6,853.5,508.5,1472.8,492.6,1103.9
23,32.52332925050157,35.38388901500577,264.3,10.1,5.59,0.4,762.6,853.5,508.5,1472.8,492.6,1103.9
0,32.50839449151696,35.39948588505463,412,1.6,5.49,0.69,722.6,136.8,986.6,1071.9,247.7,978.6
1,32.50839449151696,35.39948588505463,412,1.6,7.5,0.69,722.6,136.8,986.6,1071.9,247.7,978.6
2,32.50839449151696,35.39948588505463,412,1.6,9.54,0.69,722.6,136.8,986.6,1071.9,247.7,978.6
3,32.50839449151696,35.39948588505463,412,1.6,9.19,0.69,722.6,136.8,986.6,1071.9,247.7,978.6
4,32.50839449151696,35.39948588505463,412,1.6,8.49,0.69,722.6,136.8,986.6,1071.9,247.7,978.6
5,32.50839449151696,35.39948588505463,412,1.6,10.84,0.69,722.6,136.8,986.6,1071.9,247.7,978.6
6,32.50839449151696,35.39948588505463,412,1.6,10.71,0.69,722.6,136.8,986.6,1071.9,247.7,978.6
7,32.50839449151696,35.39948588505463,412,1.6,9.84,0.69,722.6,136.8,986.6,1071.9,247.7,978.6
8,32.50839449151696,35.39948588505463,412,1.6,8.72,0.69,722.6,136.8,986.6,1071.9,247.7,978.6
9,32.50839449151696,35.39948588505463,412,1.6,8.2,0.69,722.6,136.8,986.6,1071.9,247.7,978.6
10,32.50839449151696,35.39948588505463,412,1.6,8.4,0.69,722.6,136.8,986.6,1071.9,247.7,978.6
11,32.50839449151696,35.39948588505463,412,1.6,7.38,0.69,722.6,136.8,986.6,1071.9,247.7,978.6
12,32.50839449151696,35.39948588505463,412,1.6,8.3,0.69,722.6,136.8,986.6,1071.9,247.7,978.6
13,32.50839449151696,35.39948588505463,412,1.6,7.68,0.69,722.6,136.8,986.6,1071.9,247.7,978.6
14,32.50839449151696,35.39948588505463,412,1.6,4,0.69,722.6,136.8,986.6,1071.9,247.7,978.6
15,32.50839449151696,35.39948588505463,412,1.6,8.42,0.69,722.6,136.8,986.6,1071.9,247.7,978.6
16,32.50839449151696,35.39948588505463,412,1.6,4.41,0.69,722.6,136.8,986.6,1071.9,247.7,978.6
17,32.50839449151696,35.39948588505463,412,1.6,5.96,0.69,722.6,136.8,986.6,1071.9,247.7,978.6
18,32.50839449151696,35.39948588505463,412,1.6,4,0.69,722.6,136.8,986.6,1071.9,247.7,978.6
19,32.50839449151696,35.39948588505463,412,1.6,7.22,0.69,722.6,136.8,986.6,1071.9,247.7,978.6
20,32.50839449151696,35.39948588505463,412,1.6,9.2,0.69,722.6,136.8,986.6,1071.9,247.7,978.6
21,32.50839449151696,35.39948588505463,412,1.6,6.2,0.69,722.6,136.8,986.6,1071.9,247.7,978.6
22,32.50839449151696,35.39948588505463,412,1.6,4,0.69,722.6,136.8,986.6,1071.9,247.7,978.6
23,32.50839449151696,35.39948588505463,412,1.6,9.51,0.69,722.6,136.8,986.6,1071.9,247.7,978.6
0,32.513881882018254,35.38390659047418,483.5,6.4,6.16,0.52,253.1,903.3,745.9,1480,508.6,1356.9
1,32.513881882018254,35.38390659047418,483.5,6.4,7.71,0.52,253.1,903.3,745.9,1480,508.6,1356.9
2,32.513881882018254,35.38390659047418,483.5,6.4,8.36,0.52,253.1,903.3,745.9,1480,508.6,1356.9
3,32.513881882018254,35.38390659047418,483.5,6.4,6.96,0.52,253.1,903.3,745.9,1480,508.6,1356.9
4,32.513881882018254,35.38390659047418,483.5,6.4,7.15,0.52,253.1,903.3,745.9,1480,508.6,1356.9
5,32.513881882018254,35.38390659047418,483.5,6.4,9.01,0.52,253.1,903.3,745.9,1480,508.6,1356.9
6,32.513881882018254,35.38390659047418,483.5,6.4,9.47,0.52,253.1,903.3,745.9,1480,508.6,1356.9
7,32.513881882018254,35.38390659047418,483.5,6.4,9.64,0.52,253.1,903.3,745.9,1480,508.6,1356.9
8,32.513881882018254,35.38390659047418,483.5,6.4,8.76,0.52,253.1,903.3,745.9,1480,508.6,1356.9
9,32.513881882018254,35.38390659047418,483.5,6.4,10.21,0.52,253.1,903.3,745.9,1480,508.6,1356.9
10,32.513881882018254,35.38390659047418,483.5,6.4,9.24,0.52,253.1,903.3,745.9,1480,508.6,1356.9
11,32.513881882018254,35.38390659047418,483.5,6.4,5.9,0.52,253.1,903.3,745.9,1480,508.6,1356.9
12,32.513881882018254,35.38390659047418,483.5,6.4,6.43,0.52,253.1,903.3,745.9,1480,508.6,1356.9
13,32.513881882018254,35.38390659047418,483.5,6.4,7.61,0.52,253.1,903.3,745.9,1480,508.6,1356.9
14,32.513881882018254,35.38390659047418,483.5,6.4,6.41,0.52,253.1,903.3,745.9,1480,508.6,1356.9
15,32.513881882018254,35.38390659047418,483.5,6.4,6.74,0.52,253.1,903.3,745.9,1480,508.6,1356.9
16,32.513881882018254,35.38390659047418,483.5,6.4,5.98,0.52,253.1,903.3,745.9,1480,508.6,1356.9
17,32.513881882018254,35.38390659047418,483.5,6.4,4,0.52,253.1,903.3,745.9,1480,508.6,1356.9
18,32.513881882018254,35.38390659047418,483.5,6.4,6.66,0.52,253.1,903.3,745.9,1480,508.6,1356.9
19,32.513881882018254,35.38390659047418,483.5,6.4,4.57,0.52,253.1,903.3,745.9,1480,508.6,1356.9
20,32.513881882018254,35.38390659047418,483.5,6.4,5.26,0.52,253.1,903.3,745.9,1480,508.6,1356.9
21,32.513881882018254,35.38390659047418,483.5,6.4,4.91,0.52,253.1,903.3,745.9,1480,508.6,1356.9
22,32.513881882018254,35.38390659047418,483.5,6.4,5.16,0.52,253.1,903.3,745.9,1480,508.6,1356.9
23,32.513881882018254,35.38390659047418,483.5,6.4,5.27,0.52,253.1,903.3,745.9,1480,508.6,1356.9
0,32.48125746726897,35.43624265331653,468.6,3.1,4.73,0.41,622.3,148.5,183.2,800.7,955.2,911.6
1,32.48125746726897,35.43624265331653,468.6,3.1,7.59,0.41,622.3,148.5,183.2,800.7,955.2,911.6
2,32.48125746726897,35.43624265331653,468.6,3.1,8.82,0.41,622.3,148.5,183.2,800.7,955.2,911.6
3,32.48125746726897,35.43624265331653,468.6,3.1,7.68,0.41,622.3,148.5,183.2,800.7,955.2,911.6
4,32.48125746726897,35.43624265331653,468.6,3.1,12,0.41,622.3,148.5,183.2,800.7,955.2,911.6
5,32.48125746726897,35.43624265331653,468.6,3.1,6.09,0.41,622.3,148.5,183.2,800.7,955.2,911.6
6,32.48125746726897,35.43624265331653,468.6,3.1,9.46,0.41,622.3,148.5,183.2,800.7,955.2,911.6
7,32.48125746726897,35.43624265331653,468.6,3.1,8.39,0.41,622.3,148.5,183.2,800.7,955.2,911.6
8,32.48125746726897,35.43624265331653,468.6,3.1,9.4,0.41,622.3,148.5,183.2,800.7,955.2,911.6
9,32.48125746726897,35.43624265331653,468.6,3.1,10.84,0.41,622.3,148.5,183.2,800.7,955.2,911.6
10,32.48125746726897,35.43624265331653,468.6,3.1,7.44,0.41,622.3,148.5,183.2,800.7,955.2,911.6
11,32.48125746726897,35.43624265331653,468.6,3.1,8.35,0.41,622.3,148.5,183.2,800.7,955.2,911.6
12,32.48125746726897,35.43624265331653,468.6,3.1,7.29,0.41,622.3,148.5,183.2,800.7,955.2,911.6
13,32.48125746726897,35.43624265331653,468.6,3.1,5.89,0.41,622.3,148.5,183.2,800.7,955.2,911.6
14,32.48125746726897,35.43624265331653,468.6,3.1,5.52,0.41,622.3,148.5,183.2,800.7,955.2,911.6
15,32.48125746726897,35.43624265331653,468.6,3.1,5.44,0.41,622.3,148.5,183.2,800.7,955.2,911.6
16,32.48125746726897,35.43624265331653,468.6,3.1,6.53,0.41,622.3,148.5,183.2,800.7,955.2,911.6
17,32.48125746726897,35.43624265331653,468.6,3.1,7.85,0.41,622.3,148.5,183.2,800.7,955.2,911.6
18,32.48125746726897,35.43624265331653,468.6,3.1,4,0.41,622.3,148.5,183.2,800.7,955.2,911.6
19,32.48125746726897,35.43624265331653,468.6,3.1,4.7,0.41,622.3,148.5,183.2,800.7,955.2,911.6
20,32.48125746726897,35.43624265331653,468.6,3.1,5.94,0.41,622.3,148.5,183.2,800.7,955.2,911.6
21,32.48125746726897,35.43624265331653,468.6,3.1,6,0.41,622.3,148.5,183.2,800.7,955.2,911.6
22,32.48125746726897,35.43624265331653,468.6,3.1,5.3,0.41,622.3,148.5,183.2,800.7,955.2,911.6
23,32.48125746726897,35.43624265331653,468.6,3.1,6.19,0.41,622.3,148.5,183.2,800.7,955.2,911.6
0,32.51590373971532,35.406225191007984,244.4,9.2,8.19,0.16,754.4,141.3,1130.1,1320.9,657.2,1233.9
1,32.51590373971532,35.406225191007984,244.4,9.2,6.02,0.16,754.4,141.3,1130.1,1320.9,657.2,1233.9
2,32.51590373971532,35.406225191007984,244.4,9.2,8.98,0.16,754.4,141.3,1130.1,1320.9,657.2,1233.9
3,32.51590373971532,35.406225191007984,244.4,9.2,7.66,0.16,754.4,141.3,1130.1,1320.9,657.2,1233.9
4,32.51590373971532,35.406225191007984,244.4,9.2,11.96,0.16,754.4,141.3,1130.1,1320.9,657.2,1233.9
5,32.51590373971532,35.406225191007984,244.4,9.2,8.02,0.16,754.4,141.3,1130.1,1320.9,657.2,1233.9
6,32.51590373971532,35.406225191007984,244.4,9.2,10.89,0.16,754.4,141.3,1130.1,1320.9,657.2,1233.9
7,32.51590373971532,35.406225191007984,244.4,9.2,9.51,0.16,754.4,141.3,1130.1,1320.9,657.2,1233.9
8,32.51590373971532,35.406225191007984,244.4,9.2,11.57,0.16,754.4,141.3,1130.1,1320.9,657.2,1233.9
9,32.51590373971532,35.406225191007984,244.4,9.2,10.31,0.16,754.4,141.3,1130.1,1320.9,657.2,1233.9
10,32.51590373971532,35.406225191007984,244.4,9.2,7.93,0.16,754.4,141.3,1130.1,1320.9,657.2,1233.9
11,32.51590373971532,35.406225191007984,244.4,9.2,8.01,0.16,754.4,141.3,1130.1,1320.9,657.2,1233.9
12,32.51590373971532,35.406225191007984,244.4,9.2,4.97,0.16,754.4,141.3,1130.1,1320.9,657.2,1233.9
13,32.51590373971532,35.406225191007984,244.4,9.2,8.92,0.16,754.4,141.3,1130.1,1320.9,657.2,1233.9
14,32.51590373971532,35.406225191007984,244.4,9.2,6.95,0.16,754.4,141.3,1130.1,1320.9,657.2,1233.9
15,32.51590373971532,35.406225191007984,244.4,9.2,5.95,0.16,754.4,141.3,1130.1,1320.9,657.2,1233.9
16,32.51590373971532,35.406225191007984,244.4,9.2,6.47,0.16,754.4,141.3,1130.1,1320.9,657.2,1233.9
17,32.51590373971532,35.406225191007984,244.4,9.2,4,0.16,754.4,141.3,1130.1,1320.9,657.2,1233.9
18,32.51590373971532,35.406225191007984,244.4,9.2,7.23,0.16,754.4,141.3,1130.1,1320.9,657.2,1233.9
19,32.51590373971532,35.406225191007984,244.4,9.2,5.1,0.16,754.4,141.3,1130.1,1320.9,657.2,1233.9
20,32.51590373971532,35.406225191007984,244.4,9.2,5.04,0.16,754.4,141.3,1130.1,1320.9,657.2,1233.9
21,32.51590373971532,35.406225191007984,244.4,9.2,4.47,0.16,754.4,141.3,1130.1,1320.9,657.2,1233.9
22,32.51590373971532,35.406225191007984,244.4,9.2,7.43,0.16,754.4,141.3,1130.1,1320.9,657.2,1233.9
23,32.51590373971532,35.406225191007984,244.4,9.2,7.78,0.16,754.4,141.3,1130.1,1320.9,657.2,1233.9
0,32.47212361474753,35.41952452803394,448.7,7.9,9.56,0.63,67.2,226.3,1139.4,622.9,751.2,1138.1
1,32.47212361474753,35.41952452803394,448.7,7.9,8.8,0.63,67.2,226.3,1139.4,622.9,751.2,1138.1
2,32.47212361474753,35.41952452803394,448.7,7.9,8.44,0.63,67.2,226.3,1139.4,622.9,751.2,1138.1
3,32.47212361474753,35.41952452803394,448.7,7.9,7.95,0.63,67.2,226.3,1139.4,622.9,751.2,1138.1
4,32.47212361474753,35.41952452803394,448.7,7.9,9.19,0.63,67.2,226.3,1139.4,622.9,751.2,1138.1
5,32.47212361474753,35.41952452803394,448.7,7.9,6.19,0.63,67.2,226.3,1139.4,622.9,751.2,1138.1
6,32.47212361474753,35.41952452803394,448.7,7.9,9.01,0.63,67.2,226.3,1139.4,622.9,751.2,1138.1
7,32.47212361474753,35.41952452803394,448.7,7.9,8.03,0.63,67.2,226.3,1139.4,622.9,751.2,1138.1
8,32.47212361474753,35.41952452803394,448.7,7.9,9.89,0.63,67.2,226.3,1139.4,622.9,751.2,1138.1
9,32.47212361474753,35.41952452803394,448.7,7.9,10.45,0.63,67.2,226.3,1139.4,622.9,751.2,1138.1
10,32.47212361474753,35.41952452803394,448.7,7.9,5.76,0.63,67.2,226.3,1139.4,622.9,751.2,1138.1
11,32.47212361474753,35.41952452803394,448.7,7.9,6.6,0.63,67.2,226.3,1139.4,622.9,751.2,1138.1
12,32.47212361474753,35.41952452803394,448.7,7.9,9.21,0.63,67.2,226.3,1139.4,622.9,751.2,1138.1
13,32.47212361474753,35.41952452803394,448.7,7.9,7.88,0.63,67.2,226.3,1139.4,622.9,751.2,1138.1
14,32.47212361474753,35.41952452803394,448.7,7.9,5.23,0.63,67.2,226.3,1139.4,622.9,751.2,1138.1
15,32.47212361474753,35.41952452803394,448.7,7.9,6.24,0.63,67.2,226.3,1139.4,622.9,751.2,1138.1
16,32.47212361474753,35.41952452803394,448.7,7.9,4.96,0.63,67.2,226.3,1139.4,622.9,751.2,1138.1
17,32.47212361474753,35.41952452803394,448.7,7.9,7.62,0.63,67.2,226.3,1139.4,622.9,751.2,1138.1
18,32.47212361474753,35.41952452803394,448.7,7.9,6.71,0.63,67.2,226.3,1139.4,622.9,751.2,1138.1
19,32.47212361474753,35.41952452803394,448.7,7.9,4,0.63,67.2,226.3,1139.4,622.9,751.2,1138.1
20,32.47212361474753,35.41952452803394,448.7,7.9,4.01,0.63,67.2,226.3,1139.4,622.9,751.2,1138.1
